Rank,Score,Templates,TotalNodes,PackedNodes,PackRate,NumGroups,AvgUtilization
1,707.00,"PMU_1META|IO_1META|COMPUTE_DIRECT|MATMUL_1PRE_0POST|META_CHAIN_1",423,423,100.00,273,88.00
2,698.06,"PMU_2META|IO_1META|COMPUTE_DIRECT|MATMUL_1PRE_0POST|META_CHAIN_1",423,423,100.00,240,83.81
3,687.66,"PMU_1META|IO_1META|COMPUTE_DIRECT|MATMUL_1PRE_0POST|META_CHAIN_3",423,423,100.00,219,80.67
4,683.52,"PMU_3META|IO_1META|COMPUTE_DIRECT|MATMUL_1PRE_0POST|META_CHAIN_1",423,423,100.00,224,80.75
5,683.50,"PMU_1META|IO_1META|COMPUTE_DIRECT|MATMUL_1PRE_0POST|META_CHAIN_2",423,423,100.00,239,82.25
6,673.66,"PMU_1META|IO_1META|COMPUTE_DIRECT|MATMUL_1PRE_1POST|META_CHAIN_1",423,423,100.00,273,84.67
7,673.66,"PMU_1META|IO_1META|COMPUTE_DIRECT|MATMUL_2PRE_0POST|META_CHAIN_1",423,423,100.00,273,84.67
8,671.34,"PMU_2META|IO_1META|COMPUTE_DIRECT|MATMUL_1PRE_0POST|META_CHAIN_2",423,423,100.00,214,78.53
9,664.72,"PMU_2META|IO_1META|COMPUTE_DIRECT|MATMUL_1PRE_1POST|META_CHAIN_1",423,423,100.00,240,80.47
10,664.72,"PMU_2META|IO_1META|COMPUTE_DIRECT|MATMUL_2PRE_0POST|META_CHAIN_1",423,423,100.00,240,80.47
11,662.16,"PMU_1META|IO_1META|COMPUTE_1META|MATMUL_1PRE_0POST|META_CHAIN_1",423,423,100.00,272,83.42
12,661.64,"PMU_2META|IO_1META|COMPUTE_DIRECT|MATMUL_1PRE_0POST|META_CHAIN_3",423,423,100.00,202,76.36
13,654.34,"PMU_1META|IO_2META|COMPUTE_DIRECT|MATMUL_1PRE_0POST|META_CHAIN_1",423,423,100.00,269,82.33
14,654.32,"PMU_1META|IO_1META|COMPUTE_DIRECT|MATMUL_1PRE_1POST|META_CHAIN_3",423,423,100.00,219,77.33
15,654.32,"PMU_1META|IO_1META|COMPUTE_DIRECT|MATMUL_2PRE_0POST|META_CHAIN_3",423,423,100.00,219,77.33
16,654.16,"PMU_1META|IO_1META|COMPUTE_1META_NOEW|MATMUL_1PRE_0POST|META_CHAIN_1",423,423,100.00,280,83.42
17,653.66,"PMU_1META|IO_1META|COMPUTE_DIRECT|MATMUL_1PRE_2POST|META_CHAIN_1",423,423,100.00,273,82.67
18,653.66,"PMU_1META|IO_1META|COMPUTE_DIRECT|MATMUL_2PRE_1POST|META_CHAIN_1",423,423,100.00,273,82.67
19,653.22,"PMU_2META|IO_1META|COMPUTE_1META|MATMUL_1PRE_0POST|META_CHAIN_1",423,423,100.00,239,79.22
20,650.18,"PMU_3META|IO_1META|COMPUTE_DIRECT|MATMUL_1PRE_1POST|META_CHAIN_1",423,423,100.00,224,77.42
21,650.18,"PMU_3META|IO_1META|COMPUTE_DIRECT|MATMUL_2PRE_0POST|META_CHAIN_1",423,423,100.00,224,77.42
22,650.16,"PMU_1META|IO_1META|COMPUTE_DIRECT|MATMUL_1PRE_1POST|META_CHAIN_2",423,423,100.00,239,78.92
23,650.16,"PMU_1META|IO_1META|COMPUTE_DIRECT|MATMUL_2PRE_0POST|META_CHAIN_2",423,423,100.00,239,78.92
24,645.40,"PMU_2META|IO_2META|COMPUTE_DIRECT|MATMUL_1PRE_0POST|META_CHAIN_1",423,423,100.00,236,78.14
25,645.22,"PMU_2META|IO_1META|COMPUTE_1META_NOEW|MATMUL_1PRE_0POST|META_CHAIN_1",423,423,100.00,247,79.22
26,644.72,"PMU_2META|IO_1META|COMPUTE_DIRECT|MATMUL_1PRE_2POST|META_CHAIN_1",423,423,100.00,240,78.47
27,644.72,"PMU_2META|IO_1META|COMPUTE_DIRECT|MATMUL_2PRE_1POST|META_CHAIN_1",423,423,100.00,240,78.47
28,643.84,"PMU_1META|IO_1META|COMPUTE_1META|MATMUL_1PRE_0POST|META_CHAIN_3",423,423,100.00,218,76.18
29,640.32,"PMU_1META|IO_1META|COMPUTE_DIRECT|MATMUL_2PRE_2POST|META_CHAIN_1",423,423,100.00,273,81.33
30,639.82,"PMU_3META|IO_1META|COMPUTE_DIRECT|MATMUL_1PRE_0POST|META_CHAIN_2",423,423,100.00,206,74.58
31,639.20,"PMU_1META|IO_1META|COMPUTE_1META|MATMUL_1PRE_0POST|META_CHAIN_2",423,423,100.00,238,77.72
32,638.68,"PMU_3META|IO_1META|COMPUTE_1META|MATMUL_1PRE_0POST|META_CHAIN_1",423,423,100.00,223,76.17
33,638.00,"PMU_2META|IO_1META|COMPUTE_DIRECT|MATMUL_1PRE_1POST|META_CHAIN_2",423,423,100.00,214,75.20
34,638.00,"PMU_2META|IO_1META|COMPUTE_DIRECT|MATMUL_2PRE_0POST|META_CHAIN_2",423,423,100.00,214,75.20
35,637.32,"PMU_3META|IO_1META|COMPUTE_DIRECT|MATMUL_1PRE_0POST|META_CHAIN_3",423,423,100.00,194,73.13
36,636.12,"PMU_1META|IO_1META|COMPUTE_2META|MATMUL_1PRE_0POST|META_CHAIN_1",423,423,100.00,272,80.81
37,635.84,"PMU_1META|IO_1META|COMPUTE_1META_NOEW|MATMUL_1PRE_0POST|META_CHAIN_3",423,423,100.00,226,76.18
38,634.32,"PMU_1META|IO_1META|COMPUTE_DIRECT|MATMUL_1PRE_2POST|META_CHAIN_3",423,423,100.00,219,75.33
39,634.32,"PMU_1META|IO_1META|COMPUTE_DIRECT|MATMUL_2PRE_1POST|META_CHAIN_3",423,423,100.00,219,75.33
40,633.08,"PMU_1META|IO_2META|COMPUTE_DIRECT|MATMUL_1PRE_0POST|META_CHAIN_2",423,423,100.00,235,76.81
41,632.78,"PMU_1META|IO_2META|COMPUTE_DIRECT|MATMUL_1PRE_0POST|META_CHAIN_3",423,423,100.00,217,74.98
42,631.38,"PMU_2META|IO_1META|COMPUTE_DIRECT|MATMUL_2PRE_2POST|META_CHAIN_1",423,423,100.00,240,77.14
43,631.20,"PMU_1META|IO_1META|COMPUTE_1META_NOEW|MATMUL_1PRE_0POST|META_CHAIN_2",423,423,100.00,246,77.72
